experiment,group,feature,statistic,n_stocks,mean,ci_lower,ci_upper
exp1,vol,daily return,sigma_ratio,53,3.0962967785072832,2.951727992592183,3.289396852326072
exp1,vol,daily return,abs_delta_mu,53,0.0030140621168413756,0.002015753762264486,0.004400266879660033
exp1,vol,rolling volatility,sigma_ratio,53,2.89207547329152,2.651435310586634,3.2288944027306496
exp1,vol,rolling volatility,abs_delta_mu,53,0.0182283731363192,0.01621765178163618,0.020801250886950156
exp1,vol,absolute return,sigma_ratio,53,3.5368051615549123,3.350309943829184,3.7923799226643746
exp1,vol,absolute return,abs_delta_mu,53,0.028768059532174265,0.025486371705884765,0.032587650751973854
exp1,bb,20-day return,sigma_ratio,53,2.1356289554795453,1.6444024616679942,2.8011170781379855
exp1,bb,20-day return,abs_delta_mu,53,0.12998465718303864,0.09671127777310477,0.1783705782271049
exp1,bb,60-day return,sigma_ratio,53,2.0990746528469453,1.4898903385241393,3.05380634875087
exp1,bb,60-day return,abs_delta_mu,53,0.3076095222153348,0.21521606436990792,0.45672733329704507
exp1,bb,100-day return,sigma_ratio,53,2.482871709518988,1.737882028051645,3.673439058609862
exp1,bb,100-day return,abs_delta_mu,53,0.4316491829690738,0.292197868293859,0.6442287852172569
exp2_stacking,bb,1D,minority_occupancy_pct,53,36.253464922265216,33.77897478473961,38.4764720061063
exp2_stacking,bb,2D,minority_occupancy_pct,53,37.548375001673875,34.96190259383746,39.94827724734523
exp2_stacking,bb,3D,minority_occupancy_pct,53,36.75294936861417,33.98881181622187,39.11438595551508
exp2_stacking,vol,1D,minority_occupancy_pct,53,16.479724370464943,14.689378034437903,18.222716950835036
exp2_stacking,vol,2D,minority_occupancy_pct,53,28.681424303857227,26.602442167406092,30.656083060837155
exp2_stacking,vol,3D,minority_occupancy_pct,53,48.11415423738725,47.853817405893764,48.39667880364313
